prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
"List all files in the current directory, including hidden ones, in long format.",ls -la,ls -la,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments to list all files including hidden ones in long format."
"Show the first 10 lines of a file named ""report.txt"".",head report.txt,head -n 10 report.txt,False,True,True,True,1,2,1,True,3,"Correct tool and file name, but missing the -n 10 flag which is required to show exactly 10 lines."
"Count how many times the word ""error"" appears in the syslog.","grep -c ""error"" /var/log/syslog","grep -o ""error"" /var/log/syslog | wc -l",False,True,True,True,0,2,0,True,2,"Uses -c flag which counts lines, not occurrences; correct tool but wrong flag for the task."
Create a compressed tar archive named backup.tar.gz of the folder /home/user/data.,tar -czf backup.tar.gz /home/user/data,tar -czvf backup.tar.gz /home/user/data,False,True,True,True,1,2,2,True,4,Correct tool and flags; missing 'v' flag for verbose output which is not strictly required but commonly used. All constraints are met.
Find all .log files larger than 5 MB in /var/log and delete them.,"sudo find /var/log -name ""*.log"" -size +5M -exec rm {} \;","find /var/log -type f -name ""*.log"" -size +5M -exec rm -f {} \;",False,True,True,True,1,2,1,True,3,"Correct tool and flags, but missing -type f which ensures only files are deleted, and uses sudo which may not be required."
Display the current disk usage of each mounted filesystem in human‑readable form.,df -h,df -h,True,True,True,True,2,2,2,True,5,Correct tool and flag used to display disk usage in human-readable form.
"Show a tree view of the directory structure under /etc, limited to depth 2.",tree -L 2 /etc,tree -L 2 /etc,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag for depth, and correct argument; fully matches expected."
"Replace all occurrences of ""localhost"" with ""127.0.0.1"" in the file hosts.conf, editing the file in place.",sed -i 's/localhost/127.0.0.1/g' hosts.conf,sed -i 's/localhost/127.0.0.1/g' hosts.conf,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Show the last 20 lines of the system journal for the ssh service.,journalctl -u sshd -n 20,journalctl -u ssh -n 20,False,True,True,True,1,1,0,True,2,Incorrect service name (sshd instead of ssh); violates the constraint of showing the ssh service journal.
"List all currently running processes owned by the user alice, showing PID and command.","ps -u alice -o pid,cmd","ps -u alice -o pid,cmd",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Monitor real‑time network bandwidth usage on interface eth0.,sar -n DEV 1 10,ifstat -i eth0 1,False,True,True,False,0,0,0,True,1,Tool 'sar' is not the best choice for real-time monitoring; 'ifstat' is more appropriate for the task.
