prompt,command
"List all files in the current directory, including hidden ones, in long format.",ls -la
"Show the first 10 lines of a file named ""report.txt"".",head -n 10 report.txt
"Count how many times the word ""error"" appears in the syslog.","grep -o ""error"" /var/log/syslog | wc -l"
Create a compressed tar archive named backup.tar.gz of the folder /home/user/data.,tar -czvf backup.tar.gz /home/user/data
Find all .log files larger than 5 MB in /var/log and delete them.,"find /var/log -type f -name ""*.log"" -size +5M -exec rm -f {} \;"
Display the current disk usage of each mounted filesystem in human‑readable form.,df -h
"Show a tree view of the directory structure under /etc, limited to depth 2.",tree -L 2 /etc
"Search recursively for the string ""TODO"" in all .py files under the src directory, ignoring case.","grep -ri ""TODO"" src/*.py"
"Replace all occurrences of ""localhost"" with ""127.0.0.1"" in the file hosts.conf, editing the file in place.",sed -i 's/localhost/127.0.0.1/g' hosts.conf
Show the last 20 lines of the system journal for the ssh service.,journalctl -u ssh -n 20
"List all currently running processes owned by the user alice, showing PID and command.","ps -u alice -o pid,cmd"
Monitor real‑time network bandwidth usage on interface eth0.,ifstat -i eth0 1
Download a file from https://example.com/file.zip and save it as file.zip.,curl -L -o file.zip https://example.com/file.zip
Extract the contents of archive.tar.bz2 into the current directory.,tar -xjvf archive.tar.bz2
"Show the differences between two configuration files, config1.cfg and config2.cfg, ignoring whitespace changes.",diff -w config1.cfg config2.cfg
Print the current date and time in ISO 8601 format.,date --iso-8601=seconds
Create a new user named devuser with a home directory and default shell /bin/bash.,sudo useradd -m -s /bin/bash devuser
Change the permissions of script.sh to be executable by the owner only.,chmod 700 script.sh
"Append the line ""export PATH=$PATH:/opt/tools"" to the end of ~/.bashrc if it is not already present.",grep -qxF 'export PATH=$PATH:/opt/tools' ~/.bashrc || echo 'export PATH=$PATH:/opt/tools' >> ~/.bashrc
List the 5 most memory‑intensive processes sorted descending.,ps aux --sort=-%mem | head -n 6
Show the current IPv4 routing table.,ip -4 route show
Convert all .wav audio files in the music directory to .mp3 at 192k bitrate using ffmpeg.,"for f in music/*.wav; do ffmpeg -i ""$f"" -b:a 192k ""${f%.wav}.mp3""; done"
Generate a random 16‑character alphanumeric password and copy it to the clipboard (Linux with xclip).,tr -dc A-Za-z0-9 </dev/urandom | head -c16 | xclip -selection clipboard
Schedule a cron job to run /usr/local/bin/backup.sh at 2 am every Sunday.,"(crontab -l 2>/dev/null; echo ""0 2 * * 0 /usr/local/bin/backup.sh"") | crontab -"
"Display the size of each subdirectory in the current folder, sorted largest first.",du -sh */ | sort -hr
"Find and kill all processes containing the string ""node"" in their command line.",pkill -f node
Show the amount of free memory in megabytes.,free -m | awk '/Mem:/ {print $4}'
Create a symbolic link named latest.log pointing to /var/log/app.log.,ln -s /var/log/app.log latest.log
List all open TCP ports and the processes that own them.,sudo lsof -iTCP -sTCP:LISTEN -P -n
"Compress the file largefile.bin using gzip, keeping the original file.",gzip -c largefile.bin > largefile.bin.gz
"Display the first occurrence of the word ""FAIL"" in the log file system.log, along with its line number.","grep -n ""FAIL"" system.log | head -n 1"
Show a summary of CPU usage per core.,mpstat -P ALL 1 1
Copy the directory /var/www/html to /backup/www preserving permissions and timestamps.,rsync -a /var/www/html/ /backup/www/
List all Docker containers (running and stopped) with their status.,"docker ps -a --format ""{{.ID}}\t{{.Names}}\t{{.Status}}"""
Pull the latest version of the nginx image from Docker Hub.,docker pull nginx:latest
"Show the environment variables that contain the word ""PATH"".",env | grep PATH
Create a 1 GB file filled with zeros named zero.img.,dd if=/dev/zero of=zero.img bs=1M count=1024
Display the last 5 commit messages in the current Git repository.,"git log -5 --pretty=format:""%h %s"""
"Switch to the branch feature/login in Git, creating it if it does not exist.",git checkout -B feature/login
Show the total number of lines of code (excluding blank lines) in the src directory for *.c and *.h files.,"find src -type f \( -name ""*.c"" -o -name ""*.h"" \) -exec cat {} + | grep -v '^\s*$' | wc -l"
Display the current SELinux mode.,getenforce
Set the system timezone to UTC.,sudo timedatectl set-timezone UTC
List the top 10 largest files in /var/log.,find /var/log -type f -exec du -h {} + | sort -rh | head -n 10
Show a progress bar while copying a large directory using rsync.,rsync -a --info=progress2 /source/ /dest/
Print the hostname of the machine in uppercase.,hostname | tr '[:lower:]' '[:upper:]'
Check whether port 443 on remote host example.com is open.,nc -zvw3 example.com 443
Generate a SHA‑256 checksum for the file archive.tar.gz and save it to archive.sha256.,sha256sum archive.tar.gz > archive.sha256
List all files in /tmp that have not been accessed in the last 30 days.,find /tmp -type f -atime +30
Display the current user's UID and GID.,id -u && id -g
"Create a new Bash function named greet that prints ""Hello, $1!"" and add it to ~/.bashrc.","echo -e '\nfunction greet() { echo ""Hello, $1!""; }' >> ~/.bashrc"
Show the version of the installed Python interpreter.,python3 --version
Convert the text file data.txt to uppercase and save as data_upper.txt.,tr '[:lower:]' '[:upper:]' < data.txt > data_upper.txt
List all mounted filesystems of type ext4.,mount | grep 'type ext4'
Display the last 100 lines of the Apache error log and follow new entries in real time.,tail -n 100 -f /var/log/apache2/error.log
Create a temporary file securely and print its name.,tempfile=$(mktemp) && echo $tempfile
Show the current kernel version.,uname -r
"Replace tabs with four spaces in the file script.py, editing the file in place.",sed -i 's/\t/    /g' script.py
Find duplicate files (by checksum) in the directory ~/documents and list them.,fdupes -r ~/documents
Schedule a system shutdown in 15 minutes with a custom message.,"sudo shutdown +15 ""System will shut down in 15 minutes"""
List all users on the system who have UID greater than or equal to 1000.,awk -F: '$3>=1000 {print $1}' /etc/passwd
Show the amount of free space on the root partition in gigabytes.,df -h / | awk 'NR==2 {print $4}'
"Create a zip archive named project.zip containing the contents of the folder project/, excluding any .git directories.","zip -r project.zip project/ -x ""*/.git/*"""
Display the current shell's exit status of the last command.,echo $?
"Search for the pattern ""^ERROR"" at the beginning of lines in log.txt and count matches.","grep -c ""^ERROR"" log.txt"
List all symbolic links in /usr/local/bin and show their targets.,find /usr/local/bin -type l -ls
Set the environment variable JAVA_HOME to /usr/lib/jvm/java-11-openjdk and export it for the current session.,export JAVA_HOME=/usr/lib/jvm/java-11-openjdk
Show the current working directory,pwd
"List all files, including hidden ones, in the current directory",ls -a
Display detailed information for files in the /var/log directory,ls -lh /var/log
Find all .txt files recursively from the current directory,"find . -type f -name ""*.txt"""
