prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
display the contents of config.yaml,cat config.yaml,cat config.yaml,True,True,True,True,2,2,2,True,5,"Correct tool, correct arguments, no constraints to honor, and no safety issues."
display the contents of a file,cat file.txt,cat YOUR_FILE,False,True,True,True,2,1,1,True,4,"Correct tool and command, but uses a hardcoded filename instead of a placeholder as expected."
calculate the MD5 hash of a file document.pdf,md5sum document.pdf,md5sum document.pdf,True,True,True,True,2,2,2,True,5,Correct tool and command for calculating MD5 hash of the specified file.
calculate the MD5 hash of a file,md5sum file.txt,md5sum YOUR_FILE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses 'file.txt' instead of placeholder 'YOUR_FILE' but input_text didn't specify a filename.
initialize a Go module github.com/user/myproject,go mod init github.com/user/myproject,go mod init github.com/user/myproject,True,True,True,True,2,2,2,True,5,Correct tool and command with proper arguments as specified in the input text.
initialize a Go module,go mod init YOUR_MODULE,go mod init YOUR_MODULE_PATH,False,True,True,True,2,2,2,True,5,Correct tool and flag; placeholder for module name is appropriate as input_text does not specify it.
helm add a repository bitnami at https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments matching the input_text."
helm add a repository,helm repo add repo_name repo_url,helm repo add YOUR_REPO_NAME YOUR_REPO_URL,False,True,True,True,2,2,2,True,5,Correct tool and command structure; placeholders for repo name and URL are appropriate as they are not specified in the input.
replace old_text with new_text in file.txt,sed -i 's/old_text/new_text/g' file.txt,"sed -i ""s/old_text/new_text/g"" file.txt",False,True,True,True,2,2,2,True,5,"Correct tool, flags, and args; single quotes are acceptable as long as they don't conflict with the content."
replace text in a file,sed -i 's/old/new/g' file.txt,"sed -i ""s/YOUR_OLD_TEXT/YOUR_NEW_TEXT/g"" YOUR_FILE",False,True,True,True,2,1,1,True,3,"Correct tool and flag usage, but args are not placeholders as expected; uses hardcoded 'old', 'new', and 'file.txt' which may not align with input_text's generic instruction."
