prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
display the contents of config.yaml,cat config.yaml,cat config.yaml,True,True,True,True,2,2,2,True,5,"Correct tool, correct arguments, no constraints to honor, and no safety issues."
display the contents of a file,cat filename,cat YOUR_FILE,False,True,True,True,2,1,1,True,3,"Correct tool and usage, but 'filename' is not a placeholder; input_text does not specify a filename."
calculate the MD5 hash of a file document.pdf,md5sum document.pdf,md5sum document.pdf,True,True,True,True,2,2,2,True,5,Correct tool and command for calculating MD5 hash of the specified file.
calculate the MD5 hash of a file,md5sum filename,md5sum YOUR_FILE,False,True,True,True,2,2,2,True,5,"Correct tool and flag; uses 'filename' instead of 'YOUR_FILE' but input_text didn't specify a filename, so it's acceptable."
initialize a Go module github.com/user/myproject,go mod init github.com/user/myproject,go mod init github.com/user/myproject,True,True,True,True,2,2,2,True,5,Correct tool and command with proper arguments as specified in the input text.
initialize a Go module,go mod init mymodule,go mod init YOUR_MODULE_PATH,False,True,True,True,2,2,2,True,5,Correct tool and flag; 'mymodule' is a placeholder as input_text did not specify a module path.
helm add a repository bitnami at https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments matching the input_text."
helm add a repository,helm repo add <repository-name> <repository-url>,helm repo add YOUR_REPO_NAME YOUR_REPO_URL,False,True,False,True,2,1,1,True,2,Command uses placeholders <repository-name> and <repository-url> which are not valid in bash syntax; expected uses YOUR_REPO_NAME and YOUR_REPO_URL placeholders which are more appropriate.
replace old_text with new_text in file.txt,sed -i 's/old_text/new_text/g' file.txt,"sed -i ""s/old_text/new_text/g"" file.txt",False,True,True,True,2,2,2,True,5,"Correct tool, flags, and args; single quotes are acceptable as long as they don't conflict with the content."
replace text in a file,sed -i 's/old_text/new_text/g' filename,"sed -i ""s/YOUR_OLD_TEXT/YOUR_NEW_TEXT/g"" YOUR_FILE",False,True,True,True,2,1,1,True,3,"Correct tool and flag usage, but args use hardcoded values instead of placeholders as expected."
check SSL certificate expiry of a website example.com,openssl s_client -connect example.com:443 -servername example.com -showcerts,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -dates,False,True,True,True,1,1,0,True,2,Command does not check SSL expiry; it only connects and shows certs. Missing x509 -dates flag to check expiry.
check SSL certificate expiry of a website,openssl s_client -connect example.com:443 -servername example.com -showcerts,echo | openssl s_client -connect YOUR_DOMAIN:443 2>/dev/null | openssl x509 -noout -dates,False,True,True,False,0,0,0,True,1,Command does not check expiry; uses wrong tool and flags. Correct approach would involve checking certificate dates.
add a default gateway 192.168.1.1,sudo ip route add default via 192.168.1.1,sudo ip route add default via 192.168.1.1,True,True,True,True,2,2,2,True,5,"Correct tool, correct command, and correct arguments match the input_text requirement."
add a default gateway,sudo ip route add default via <gateway_ip>,sudo ip route add default via YOUR_GATEWAY,False,True,False,True,2,0,0,True,1,Correct tool and command structure but uses <gateway_ip> which is not a valid placeholder; syntax is invalid due to missing value.
test IPv6 connectivity to ipv6.google.com,ping6 ipv6.google.com,ping6 -c 4 ipv6.google.com,False,True,True,True,1,2,2,True,4,Correct tool and target but missing -c 4 flag which is commonly used to specify the number of packets to send.
test IPv6 connectivity,ping6 -c 4 google.com,ping6 -c 4 YOUR_HOST,False,True,True,True,2,1,1,True,3,"Correct tool and flag for IPv6 connectivity, but uses a specific host (google.com) instead of a placeholder as expected."
format a partition /dev/sdb1 as ext4,sudo mkfs.ext4 /dev/sdb1,sudo mkfs.ext4 /dev/sdb1,True,True,True,True,2,2,2,True,5,Correct tool and arguments; properly formats the partition as ext4 as requested.
format a partition as ext4,sudo mkfs.ext4 /dev/sdX,sudo mkfs.ext4 YOUR_DEVICE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder YOUR_DEVICE which is appropriate as input_text did not specify a device.
read user input in a script for name,"read -p ""Enter your name: "" name","read -p ""Enter your name: "" name",True,True,True,True,2,2,2,True,5,Correct tool and flag usage with proper argument for user input.
read user input in a script,"read -p ""Enter your input: "" input","read -p ""YOUR_PROMPT: "" YOUR_VARIABLE",False,True,True,True,2,1,1,True,4,"Correct tool and flag usage, but args use specific values instead of placeholders as expected."
write hello world to a file hello.txt,"echo ""Hello, World!"" > hello.txt","echo ""Hello World"" > hello.txt",False,True,True,True,2,2,2,True,5,"Correct tool and operation, minor text variation ('Hello, World!' vs 'Hello World') but still meets the input requirement."
write hello world to a file,"echo ""Hello, World!"" > hello.txt","echo ""YOUR_TEXT"" > YOUR_FILE",False,True,True,True,2,1,1,True,4,"Correct tool and action, but uses hardcoded text and filename instead of placeholders as expected."
limit a process ./task to a specific CPU core 0,sudo taskset -c 0 ./task,taskset -c 0 ./task,False,True,True,True,2,2,2,True,5,"Correct tool and flag for CPU core 0; no need for sudo unless required, which is not specified."
limit a process to a specific CPU core,taskset -c 0 <pid>,taskset -c YOUR_CORE YOUR_COMMAND,False,True,False,True,1,0,0,True,1,Command is incomplete (needs a process to launch) and syntax is invalid due to missing command.
extract a specific field name from JSON data.json,jq '.field_name' data.json,jq '.name' data.json,False,True,True,True,2,1,1,True,3,Correct tool and structure but uses 'field_name' instead of 'name' as specified in input_text.
extract a specific field from JSON,jq '.field' input.json,jq '.YOUR_FIELD' YOUR_FILE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholders for field and file as input_text did not specify them.
check if a package curl is installed,dpkg -l | grep curl,dpkg -l | grep curl,True,True,True,True,2,2,2,True,5,Correct tool and command to check if curl is installed.
check if a package is installed,dpkg -l | grep package_name,dpkg -l | grep YOUR_PACKAGE,False,True,True,True,2,1,1,True,4,Correct tool and approach but uses 'package_name' instead of placeholder 'YOUR_PACKAGE' as expected.
view logs for a specific service nginx,sudo journalctl -u nginx,journalctl -u nginx,False,True,True,True,2,2,2,True,5,Correct tool and flag for viewing logs of the nginx service; sudo is unnecessary if user has access.
view logs for a specific service,journalctl -u service_name,journalctl -u YOUR_SERVICE,False,True,True,True,2,2,2,True,5,Correct tool and flag; service_name is a placeholder as input_text did not specify a service.
compare two files file1.txt and file2.txt,diff file1.txt file2.txt,diff file1.txt file2.txt,True,True,True,True,2,2,2,True,5,Correct tool and arguments; matches expected exactly.
compare two files,diff file1 file2,diff YOUR_FILE1 YOUR_FILE2,False,True,True,True,2,2,2,True,5,Correct tool and command structure; uses placeholder files as input_text did not specify them.
convert a CSV data.csv to JSON,cat data.csv | jq .,"python3 -c ""import csv,json,sys; print(json.dumps(list(csv.DictReader(open('data.csv')))))""",False,True,True,True,0,0,0,True,1,Uses jq which may not handle CSV correctly; expected uses Python which is more reliable for CSV to JSON conversion.
convert a CSV to JSON,cat input.csv | jq .,"python3 -c ""import csv,json,sys; print(json.dumps(list(csv.DictReader(open('YOUR_FILE')))))""",False,True,True,True,0,0,0,True,1,Uses jq which may not handle CSV correctly; expected uses Python which is more reliable for CSV to JSON conversion.
merge two JSON files a.json and b.json,cat a.json b.json | jq .,jq -s '.[0] * .[1]' a.json b.json,False,True,True,True,1,1,1,True,3,Uses cat and jq but does not merge JSON files correctly; the expected command uses jq's -s flag for proper merging.
merge two JSON files,cat file1.json file2.json | jq .,jq -s '.[0] * .[1]' YOUR_FILE1 YOUR_FILE2,False,True,True,True,0,0,0,True,1,Uses cat and jq but does not merge JSON files correctly; the approach is incorrect for merging JSON objects.
kubernetes apply a configuration file deployment.yaml,kubectl apply -f deployment.yaml,kubectl apply -f deployment.yaml,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
kubernetes apply a configuration file,kubectl apply -f config.yaml,kubectl apply -f YOUR_CONFIG_FILE,False,True,True,True,2,2,2,True,5,"Correct tool and flag; uses a specific file name instead of a placeholder, which is acceptable as input_text implies a specific file."
set the sticky bit on a directory /shared,sudo chmod +t /shared,chmod +t /shared,False,True,True,True,2,2,2,True,5,Correct tool and flag used to set the sticky bit on /shared.
set the sticky bit on a directory,chmod +t directory_name,chmod +t YOUR_DIRECTORY,False,True,True,True,2,2,2,True,5,Correct tool and flag; directory_name is a valid placeholder as input_text does not specify a particular directory.
capture packets on eth0 and save to capture.pcap,sudo tcpdump -i eth0 -w capture.pcap,sudo tcpdump -i eth0 -w capture.pcap,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
capture packets and save to file,tcpdump -w output.pcap,sudo tcpdump -i YOUR_INTERFACE -w YOUR_OUTPUT,False,True,True,True,2,1,1,True,3,"Correct tool and flag for capturing packets, but lacks interface and output file specification which are implied by input_text."
force kill a process 5678,kill -9 5678,kill -9 5678,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
force kill a process,kill -9 <PID>,kill -9 YOUR_PID,False,True,False,True,2,1,1,True,2,Correct tool and flag but placeholder <PID> is not valid syntax; should use YOUR_PID as in expected.
check and repair a filesystem /dev/sda1,sudo fsck /dev/sda1,sudo e2fsck -f /dev/sda1,False,True,True,True,1,1,1,True,3,Uses fsck which is correct but expected uses e2fsck with -f flag for forced check; tool is correct but flags differ.
check and repair a filesystem,fsck /dev/sda1,sudo e2fsck -f YOUR_DEVICE,False,True,True,True,1,1,1,True,3,Uses fsck which is correct but lacks the -f flag to force check and does not specify the filesystem type; expected uses e2fsck with -f.
run uptime command on multiple remote servers server1 server2,ssh server1 uptime; ssh server2 uptime,"for host in server1 server2; do echo ""=== $host ==="" && ssh $host ""uptime""; done",False,True,True,True,2,2,1,True,3,Command is functional but lacks output separation and error handling; uses correct tool but incomplete.
run multiple commands on remote servers,"ssh user@server1 ""command1; command2; command3""","for host in YOUR_HOSTS; do echo ""=== $host ==="" && ssh $host ""YOUR_COMMAND""; done",False,True,True,True,2,1,0,True,2,"Command runs a single set of commands on one server, but input_text asks for multiple servers; lacks loop for multiple hosts."
