prompt,command
compile a shared library mylib.c,gcc -shared -fPIC -o libmylib.so mylib.c
compile a shared library,gcc -shared -fPIC -o YOUR_LIBRARY YOUR_SOURCE
create a virtual bridge interface br0,sudo brctl addbr br0
create a virtual bridge interface,sudo brctl addbr YOUR_BRIDGE
shuffle lines of a file list.txt,shuf list.txt
shuffle lines of a file,shuf YOUR_FILE
follow journal logs for a service nginx,journalctl -u nginx -f
follow journal logs for a service,journalctl -u YOUR_SERVICE -f
show the number of words in a file essay.txt,wc -w essay.txt
show the number of words in a file,wc -w YOUR_FILE
reverse the lines of a file file.txt,tac file.txt
reverse the lines of a file,tac YOUR_FILE
use pass to insert a new password web/example.com,pass insert web/example.com
use pass to insert a new password,pass insert YOUR_PASSWORD_PATH
run a command ./build.sh and measure execution time,time ./build.sh
run a command and measure execution time,time YOUR_COMMAND
mirror a website with wget https://example.com,wget --mirror --convert-links --adjust-extension --page-requisites https://example.com
mirror a website with wget,wget --mirror --convert-links --adjust-extension --page-requisites YOUR_URL
change the MAC address of interface eth0 to 00:11:22:33:44:55,sudo ip link set eth0 address 00:11:22:33:44:55
change the MAC address of an interface,sudo ip link set YOUR_INTERFACE address YOUR_MAC_ADDRESS
extract data from XML data.xml with xpath //title,"xmllint --xpath ""//title"" data.xml"
extract data from XML with xpath,"xmllint --xpath ""YOUR_XPATH"" YOUR_FILE"
sum a column of numbers in data.txt,awk '{sum+=$1} END {print sum}' data.txt
sum a column of numbers,awk '{sum+=$1} END {print sum}' YOUR_FILE
merge split files back together to output.txt,cat part_* > output.txt
merge split files back together,cat YOUR_PATTERN > YOUR_OUTPUT
docker stop a container container_id,docker stop container_id
docker stop a container,docker stop YOUR_CONTAINER_ID
kubernetes rollout status of deployment mydeployment,kubectl rollout status deployment/mydeployment
kubernetes rollout status,kubectl rollout status deployment/YOUR_DEPLOYMENT
remove a kernel module module_name,sudo modprobe -r module_name
remove a kernel module,sudo modprobe -r YOUR_MODULE
sync a local directory local_dir/ to a remote server user@server:/remote_dir/,rsync -avz --progress local_dir/ user@server:/remote_dir/
sync a local directory to a remote server,rsync -avz --progress YOUR_SOURCE YOUR_DESTINATION
copy a directory source/ recursively to dest/,cp -r source/ dest/
copy a directory recursively,cp -r YOUR_SOURCE YOUR_DESTINATION
stop a systemd service nginx,sudo systemctl stop nginx
stop a systemd service,sudo systemctl stop YOUR_SERVICE
mount a remote filesystem user@server:/remote/path via SSHFS to /local/mount,sshfs user@server:/remote/path /local/mount
mount a remote filesystem via SSHFS,sshfs YOUR_REMOTE_PATH YOUR_LOCAL_MOUNT
create an incremental backup with rsync from source/ to backup/,rsync -avz --delete source/ backup/
create an incremental backup with rsync,rsync -avz --delete YOUR_SOURCE YOUR_BACKUP
kubernetes set deployment mydeployment image myapp to myapp:v2,kubectl set image deployment/mydeployment myapp=myapp:v2
kubernetes set a deployment image,kubectl set image deployment/YOUR_DEPLOYMENT YOUR_CONTAINER=YOUR_IMAGE
create a RAM disk at /mnt/ramdisk,sudo mount -t tmpfs -o size=512m tmpfs /mnt/ramdisk
create a RAM disk,sudo mount -t tmpfs -o size=YOUR_SIZE tmpfs YOUR_MOUNT_POINT
