prompt,command
Search for pattern recursively,grep -R 'TODO' src/
kubernetes rollback a deployment,kubectl rollout undo deployment/YOUR_DEPLOYMENT
upgrade a Helm release,helm upgrade release_name chart_name
"Convert the line endings of ""dosfile.txt"" from CRLF to LF",dos2unix dosfile.txt
AWS invoke a Lambda function myfunction,aws lambda invoke --function-name myfunction output.json
"Kill all processes named ""myapp"" owned by the current user.",pkill -u $USER myapp
check for rootkits,sudo rkhunter --check
List all files in the current directory that were modified in the last 24 hours.,find . -type f -mtime -1
check filesystem for errors,sudo fsck YOUR_DEVICE
Execute 'top -n1 | grep mysql' every 2 seconds and highlight the differences between runs,watch -d 'top -n1 | grep mysql'
Prints a random line from file,head -$((${RANDOM} % `wc -l < file` + 1)) file | tail -1
Creates temporary file with appended suffix '.cmd' and saves path to it in 'LGT_TEMP_FILE' variable.,"LGT_TEMP_FILE=""$(mktemp --suffix .cmd)"""
Create a tar archive of a directory named 'docs',tar -cvf docs.tar docs/
download an entire website for offline viewing,wget -r -l 5 https://example.com
"Find all files with the extension "".sh"" that are not executable and make them executable.","find . -type f -name ""*.sh"" ! -perm /111 -exec chmod +x {} \;"
change password for a user,sudo passwd john
"Extract the third column from a CSV file ""data.csv""","cut -d',' -f3 data.csv"
"Remove ""-"" from the contents of ""/proc/sys/kernel/random/uuid"" and save output to variable ""comment""",comment=$(cat /proc/sys/kernel/random/uuid | sed 's/\-//g')
Kill the process with PID stored in pid.txt,kill $(cat pid.txt)
Display the current clipboard contents using xclip (X11).,xclip -o -selection clipboard
Print the current shell's PID,"echo $$
12345"
search for all the mp3 files in the current folder and change the character encoding of them to <source-encoding>,"$ find . -name ""*mp3"" -print0 | xargs -0 mid3iconv -e <source-encoding> -d"
"Using awk, compute the median of the second column in a CSV file data.csv (comma‑separated), ignoring header line.","awk -F',' 'NR>1{a[NR-1]=$2} END{n=asort(a); if(n%2){print a[(n+1)/2]} else {print (a[n/2]+a[n/2+1])/2}}' data.csv #=> median value"
"Create a 5‑second delay before executing the command ""echo Done""",sleep 5 && echo Done
"Create a one‑liner that prints the current Git branch name, the number of staged files, and the number of unstaged changes.","printf ""Branch: %s\nStaged: %d\nUnstaged: %d\n"" ""$(git rev-parse --abbrev-ref HEAD)"" ""$(git diff --cached --name-only | wc -l)"" ""$(git diff --name-only | wc -l)"""
"Replace all occurrences of the word ""ERROR"" with ""WARN"" in all .log files under /opt/app, but keep a backup of original files with .bak extension.","find /opt/app -type f -name ""*.log"" -exec sed -i.bak 's/ERROR/WARN/g' {} +"
"Search recursively for the word ""ERROR"" in all "".log"" files under ""/var/log"" and show line numbers.","grep -Rin ""ERROR"" /var/log/*.log"
pull latest changes from remote,git pull
Display the contents of readme.md,$ cat readme.md
compile with debug symbols,gcc -g -o YOUR_OUTPUT YOUR_SOURCE
measure response time with curl,"curl -o /dev/null -s -w ""%{time_total}\n"" https://example.com"
Enable the firewalld service to start on boot,sudo systemctl enable firewalld
"Find all symbolic links under /opt that are broken, replace each with a copy of the target file (if it exists elsewhere), and log the actions to /var/log/broken_links.log.","find /opt -xtype l -print0 | while IFS= read -r -d '' link; do target=$(readlink -f ""$link""); if [ -e ""$target"" ]; then cp -a ""$target"" ""$(dirname ""$link"")/$(basename ""$target"")""; echo ""Replaced broken link $link with copy of $target"" >> /var/log/broken_links.log; else echo ""No source found for $link"" >> /var/log/broken_links.log; fi; done"
Resume a suspended process,fg
Finds name of a current month and saves it in a 'month' variable.,"month=$(cal | head -1 | grep -oP ""[A-Za-z]+"")"
"Copy all .conf files from /etc to ~/backup_conf preserving directory structure, creating any missing directories.",rsync -av --include='*/' --include='*.conf' --exclude='*' /etc/ ~/backup_conf/
Change the password for the current user,passwd
show command type,type command_name
"Convert the PDF report.pdf to a series of PNG images, one per page, stored in the folder images/.",mkdir -p images && pdftoppm -png report.pdf images/page
"Download the file from ""https://example.com/file.zip"" and save it as ""file.zip"".",curl -L -o file.zip https://example.com/file.zip
Check the system logs,journalctl -u systemd
Show the process tree for the current user,ps -u $USER -f --forest
Unset (delete) all environment variables.,unset `env | awk -F= '/^\w/ {print $1}' | xargs`
show systemd service boot time,systemd-analyze blame
sort a file in reverse order,sort -r YOUR_FILE
"List all files in the current directory sorted by modification time, newest first",ls -lt
"Create a function that accepts a directory and prints a tree view limited to depth 3, showing only directories and .conf files, with sizes in brackets.","tree_conf(){ local dir=""$1""; find ""$dir"" -maxdepth 3 \( -type d -o -name ""*.conf"" \) -printf ""%p %s\n"" | while read -r path size; do indent=$(printf ""%*s"" $(( $(echo ""$path"" | tr -cd '/' | wc -c)*2 )) """"); echo ""${indent}${path##*/} [${size}B]""; done; }; # Usage: tree_conf /etc"
test if the 2nd column in file A is in the reverse order of the second column of file B,diff --brief <(awk '{print $2}' A) <(tac B | awk '{print $2}')
Append the output of df -h to system_report.txt,df -h >> system_report.txt
"Recursively search /etc for configuration files (*.conf) containing the string ""timeout"" (case‑insensitive), display the filename, line number, and the matching line, and write the output to /tmp/timeout_refs.log.","grep -Ri ""timeout"" /etc --include='*.conf' -n > /tmp/timeout_refs.log"
"Grab a gzipped text file from the web and display its decompressed content, interactively paging through the output.",curl -s 'http://archive.ubuntu.com/ubuntu/pool/universe/s/splint/splint_3.1.2.dfsg1-2.diff.gz' | gunzip -dc | less
"Create a bash function called ""mkcd"" that creates a directory and immediately changes into it.","mkcd() { mkdir -p ""$1"" && cd ""$1""; }"
Kill a process with a specific PID,kill PID
apply a Kubernetes manifest,kubectl apply -f manifest.yaml
generate a Python coverage report,python3 -m coverage report
"Save a random 4 byte unsigned integer from ""/dev/urandom"" to variable ""RAND""",RAND=`od -t uI -N 4 /dev/urandom | awk '{print $2}'`
switch to root user,sudo su
Display the last 20 lines of the file /var/log/auth.log and follow new additions in real time.,tail -n 20 -f /var/log/auth.log
"Find all directories that do not contain ""main.cpp""",diff <(find . -exec readlink -f {} \; | sed 's/\(.*\)\/.*$/\1/' | sort | uniq) <(find . -name main.cpp  -exec readlink -f {} \; | sed 's/\(.*\)\/.*$/\1/' | sort | uniq) | sed -n 's/< \(.*\)/\1/p'
Download the file https://example.com/data.csv and save it as data.csv in the current directory.,curl -L -o data.csv https://example.com/data.csv
Run a command 'example' in the background,example &
"Answer ""y"" to all ""Are you sure?"" prompts from command ""cp * /tmp""",yes | cp * /tmp
vet Go code for issues,go vet ./...
"Execute ""killall -USR1 dd"" every minute",watch -n 60 killall -USR1 dd
"Move (rename) file ""data.csv"" to ""data_2023.csv""",mv data.csv data_2023.csv
show detailed hardware information,sudo lshw -short
Clean up all zombie processes by instantly killing their parent process with SIGKILL signal.,"kill -9 $(ps -A -ostat,ppid | grep -e '[zZ]'| awk '{ print $2 }')"
"Show the difference between two files ""old.cfg"" and ""new.cfg"" using unified diff format.",diff -u old.cfg new.cfg
List the processes currently running on the system,ps aux
"Write a Bash one‑liner that extracts the domain names from a list of URLs in urls.txt, counts occurrences, and outputs the top 5 domains.",awk -F/ '{print $3}' urls.txt | sort | uniq -c | sort -nr | head -n 5
"Write a Bash script that reads a CSV file users.csv (fields: name,email,role), creates a system user for each entry, sets a random password, adds them to a group based on role, and emails the credentials to the user (assume mail command works)","#!/usr/bin/env bash\nwhile IFS=, read -r name email role; do\n  username=$(echo ""$name"" | tr '[:upper:]' '[:lower:]' | tr -d ' ')\n  password=$(openssl rand -base64 12)\n  sudo useradd -m -s /bin/bash ""$username"" && echo ""$username:$password"" | sudo chpasswd\n  sudo groupadd -f ""$role"" && sudo usermod -aG ""$role"" ""$username""\n  echo -e ""Subject: Your account\n\nUsername: $username\nPassword: $password"" | mail -s ""Account Details"" ""$email""\ndone < users.csv"
"Save the user name of the current user to variable ""me""",me=$(whoami)
decompress a bzip2 file,bunzip2 YOUR_FILE
Change the permissions of a file named 'file.txt' to read-only,chmod 444 file.txt
Print the current working directory without a trailing newline.,pwd -P
list Kubernetes secrets,kubectl get secrets
"delete all the ""wmv"" ""wma"" files in the currnet folder,",find . \( -name '*.wmv' -o -name '*.wma' \) -exec rm {} \;
Show the amount of free and used memory in human‑readable form,free -h
generate a random number between 1 and 100,shuf -i 1-100 -n 1
Uncompress a file named 'file.txt.gz' using gzip,gunzip file.txt.gz
Generate a UUID and store it in a variable uuid,uuid=$(cat /proc/sys/kernel/random/uuid) && echo $uuid
"Use the uncompressed contents of ""blah.gz"" as input to ""some_command""",gunzip -c blah.gz | some_command
"Encrypt the file ""secret.txt"" using GPG with symmetric encryption.",gpg -c secret.txt
Display the information of a command 'ls',info ls
Check the CPU information,lscpu
Add the current user to the sudo group,sudo usermod -aG sudo $USER
"Find all files larger than 100 MB in ""/var"" and delete them after confirmation.",find /var -type f -size +100M -exec rm -i {} \;
Sort the file scores.txt numerically in descending order,sort -nr scores.txt
Stop and remove all stopped Docker containers,docker container prune -f
sum a column of numbers in data.txt,awk '{sum+=$1} END {print sum}' data.txt
merge two JSON files with jq,jq -s '.[0] * .[1]' file1.json file2.json
"Find all files named ""config.yaml"" under /etc and replace the string ""debug: false"" with ""debug: true"" in each file.","find /etc -type f -name ""config.yaml"" -exec sed -i 's/debug: false/debug: true/g' {} +"
Find all files modified in the last 24 hours,find . -mtime -1
"Display the differences between ""file1.cf"" and ""file2.cf"" side-by-side with a width of 150 characters",diff -y -W 150 file1.cf file2.cf
Create a new empty file named notes.txt,touch notes.txt
"Create a one‑liner that continuously monitors free disk space on /, and sends a desktop notification when free space drops below 10%.","while :; do free=$(df / --output=avail -B1 | tail -1); total=$(df / --output=size -B1 | tail -1); perc=$(( 100*free/total )); if [ $perc -lt 10 ]; then notify-send ""Low Disk Space"" ""Only $perc% free on /""; fi; sleep 300; done"
"Generate a CSV of all users with UID >= 1000, showing username, UID, GID, home directory, and shell, sorted by UID.","awk -F: '($3>=1000){print $1"",""$3"",""$4"",""$6"",""$7}' /etc/passwd | sort -t, -k2,2n"
"lines.txt contains a list of line numbers, one entry per line - output only these lines from text.txt omitting the rest of the file.",cat -n text.txt | join -o2.2 lines.txt -
kill all active jobs,jobs -p | xargs kill -9
"Delete history entry at offset, defined in first argument of executed script","history -d ""$1"""
"Generate a CSV report of disk usage per mounted filesystem, including mount point, total size, used, available, and usage percentage, sorted by usage descending.","df -hP | awk 'NR>1{print $6"",""$2"",""$3"",""$4"",""$5}' | sort -t, -k5 -nr > /tmp/disk_report.csv"
validate Terraform configuration,terraform validate
"Set the variable ""PROJECT"" to ""demo"" and export it",export PROJECT=demo
schedule a shutdown in 30 minutes,sudo shutdown +30
"Write a Bash function that takes a directory path and a regex pattern, searches all text files recursively for the pattern, and returns a sorted list of unique matching lines prefixed by filename:line_number.","search_pattern(){ dir=""$1""; pat=""$2""; grep -RIn --include='*.{txt,log,conf,md}' -E ""$pat"" ""$dir"" | sort -u; }"
Create a symbolic link named latest.log pointing to logs/2026-03-24.log,ln -s logs/2026-03-24.log latest.log\n
"Write a Bash script that watches a directory for new .zip files, extracts them to /data/incoming, and logs the filenames and extraction status.","#!/usr/bin/env bash
in_dir=/var/watch
out_dir=/data/incoming
inotifywait -m -e create --format ""%f"" ""$in_dir"" | while read file; do
  if [[ $file == *.zip ]]; then
    if unzip -o ""$in_dir/$file"" -d ""$out_dir"" >> /var/log/unzip.log 2>&1; then
      echo ""$(date): $file extracted successfully"" >> /var/log/unzip.log
    else
      echo ""$(date): $file extraction failed"" >> /var/log/unzip.log
    fi
  fi
done"
decode a base64 string aGVsbG8gd29ybGQ=,"echo ""aGVsbG8gd29ybGQ="" | base64 -d"
Show the IP address of the Docker bridge network (docker0).,ip -4 addr show docker0 | grep -oP '(?<=inet\s)\d+(\.\d+){3}'
remove a package nginx with apt,sudo apt remove nginx
"Show the disk usage of each subdirectory in ""/home/user"" in human‑readable format, sorted from largest to smallest.",du -h --max-depth=1 /home/user | sort -hr
"Show the first 5 columns of ""data.tsv"" using tab as delimiter.",cut -f1-5 data.tsv
"List the top 10 most frequently occurring IP addresses in /var/log/nginx/access.log, ignoring any private address ranges (10.*, 172.16.*‑172.31.*, 192.168.*).",awk '{print $1}' /var/log/nginx/access.log | grep -vE '^10\.|^172\.(1[6-9]|2[0-9]|3[0-1])\.|^192\.168\.' | sort | uniq -c | sort -nr | head -10
run a Java program,java YOUR_CLASS
Monitor real‑time changes to a log file named access.log,tail -F access.log
"Show the last 5 commits in the current Git repository, one line per commit.",git log -5 --oneline
show all exported variables,export -p
Print the base name of the current working directory,"basename ""`pwd`"""
Download a file from 'https://example.com/file.txt',wget https://example.com/file.txt
"Show the difference between the files ""old.cfg"" and ""new.cfg"" with line numbers.",diff -u -c old.cfg new.cfg
download a file with wget to a specific directory,wget -P YOUR_DIRECTORY YOUR_URL
"download content from ""http://127.0.0.1:8000"" and output to ""index.html""",curl http://127.0.0.1:8000 -o index.html
Find all .log files under /var/log recursively,"find /var/log -type f -name ""*.log"""
Show the IP address of the eth0 interface.,ip -4 addr show dev eth0 | grep -oP '(?<=inet\s)\d+(\.\d+){3}'
"Print equal lines in compressed files ""number.txt"" and ""xxx.txt""",comm -12 <(zcat number.txt.gz) <(zcat xxx.txt.gz)
docker create a volume myvolume,docker volume create myvolume
"Write a script that pings a list of hosts from hosts.txt, logs reachable hosts to reachable.log and unreachable to unreachable.log with timestamps.","while read host; do
  if ping -c1 -W2 ""$host"" &>/dev/null; then
    echo ""$(date +'%Y-%m-%d %H:%M:%S') $host reachable"" >> reachable.log
  else
    echo ""$(date +'%Y-%m-%d %H:%M:%S') $host unreachable"" >> unreachable.log
  fi
done < hosts.txt"
Clears the terminal screen.,clear
Show the last 5 commits in a compact format,git log -5 --oneline
sort data.csv by column 2,"sort -t',' -k2 data.csv"
"Mathematically sum all numbers in ""file.txt""",cat file.txt | xargs  | sed -e 's/\ /+/g' | bc
"Find all JavaScript files modified in the last 7 days, replace tabs with four spaces, and create a tar.gz archive preserving the directory structure.","find . -type f -name ""*.js"" -mtime -7 -print0 | xargs -0 sed -i 's/\t/    /g' && tar -czf recent_js_$(date +%Y%m%d).tar.gz $(find . -type f -name ""*.js"" -mtime -7)"
"Search for the string ""password"" in all files, but ignore binary files.","grep -R ""password"" . --binary-files=without-match"
"Replace all occurrences of ""foo"" with ""bar"" in file.txt and edit the file in place.",sed -i 's/foo/bar/g' file.txt
"Find all files/directories under current directory without descending into './bookshop/mediaimg', '*/CVS*', './files', './images/cms', './internal', './limesurvey171plus_build5638' and './gallery2' paths, then run cvs command with 'status' and each path as arguments and redirect the output to output.txt fle","for i in `find .  -not \( -name ""*\.jpg"" \) -path './bookshop/mediaimg' -prune -o -path '*/CVS*' -prune -o  -path './files' -prune  -o -path './images/cms' -prune -o -path './internal' -prune -o -path './limesurvey171plus_build5638' -prune  -o -path './gallery2' -prune -o  -print  `; do cvs status  ""$i"" |grep Status ; done &>~/output.txt"
"List all open TCP ports and the processes that own them, without requiring root privileges.",ss -tulpn
"Show the size of the file ""video.mp4"" in megabytes with one decimal place",du -BM video.mp4 | cut -f1
"Change the permissions of a file named 'file.txt' to readable, writable, and executable by the owner",chmod 700 file.txt
Display the current working directory.,pwd
kill group leader,kill `jobs -lp`
"Measure the execution time of the command ""gzip largefile""",time gzip largefile
Monitor real‑time CPU usage per core with a one‑second interval.,mpstat -P ALL 1
"Using curl and jq, fetch the latest release tag of the GitHub repository ""owner/repo"" via the GitHub API and clone that specific tag into ~/repo_latest.","tag=$(curl -s https://api.github.com/repos/owner/repo/releases/latest | jq -r '.tag_name'); git clone --branch ""$tag"" https://github.com/owner/repo.git ~/repo_latest"
"Create a cron-friendly command that rotates logs in /var/log/myapp/, keeping the last 7 compressed archives, and deletes older ones.",logdir=/var/log/myapp; timestamp=$(date +%F); mv $logdir/app.log $logdir/app.log.$timestamp && gzip $logdir/app.log.$timestamp && find $logdir -name 'app.log.*.gz' -mtime +7 -delete
Synchronize the directory /var/www/ to /backup/www/ preserving permissions using rsync,rsync -avz /var/www/ /backup/www/
Display the system CPU usage,top -b -n 1
"Extract the JSON field ""error"" from all lines in /var/log/app.log, count unique error messages, and output the top 5 most frequent ones sorted by count.","grep ""\""error\"""" /var/log/app.log | jq -r "".error"" | sort | uniq -c | sort -rn | head -5"
Print the 3rd column of data.txt assuming it is comma‑separated.,"cut -d',' -f3 data.txt"
Create a new tar archive of a directory 'example',tar -czf example.tar.gz example
convert line endings from Unix to Windows,unix2dos file.txt
"download contents of a website ""https://get.scoop.sh""",curl -L https://get.scoop.sh
