prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
"List all files in the current directory, including hidden ones, in long format.",ls -la,ls -la,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; matches expected exactly."
"Show the first 10 lines of a file named ""report.txt"".",head -n 10 report.txt,head -n 10 report.txt,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
"Count how many times the word ""error"" appears in the syslog.","grep -o ""error"" /var/log/syslog | wc -l","grep -o ""error"" /var/log/syslog | wc -l",True,True,True,True,2,2,2,True,5,Correct tool and flags; uses proper arguments and constraints as specified.
Create a compressed tar archive named backup.tar.gz of the folder /home/user/data.,tar -czvf backup.tar.gz /home/user/data,tar -czvf backup.tar.gz /home/user/data,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Find all .log files larger than 5 MB in /var/log and delete them.,"find /var/log -type f -name ""*.log"" -size +5M -exec rm -f {} \;","find /var/log -type f -name ""*.log"" -size +5M -exec rm -f {} \;",True,True,True,True,2,2,2,True,5,"Correct tool, flags, and arguments; all constraints honored."
Display the current disk usage of each mounted filesystem in human‑readable form.,df -h,df -h,True,True,True,True,2,2,2,True,5,Correct tool and flag used to display disk usage in human-readable form.
"Show a tree view of the directory structure under /etc, limited to depth 2.",tree -L 2 /etc,tree -L 2 /etc,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag for depth, and correct argument; fully matches expected."
"Replace all occurrences of ""localhost"" with ""127.0.0.1"" in the file hosts.conf, editing the file in place.",sed -i 's/localhost/127.0.0.1/g' hosts.conf,sed -i 's/localhost/127.0.0.1/g' hosts.conf,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Show the last 20 lines of the system journal for the ssh service.,journalctl -u ssh -n 20,journalctl -u ssh -n 20,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, and correct arguments; matches expected exactly."
"List all currently running processes owned by the user alice, showing PID and command.","ps -u alice -o pid,cmd","ps -u alice -o pid,cmd",True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Monitor real‑time network bandwidth usage on interface eth0.,ifstat -i eth0 1,ifstat -i eth0 1,True,True,True,True,2,2,2,True,5,Correct tool and flags; matches expected exactly.
Download a file from https://example.com/file.zip and save it as file.zip.,curl -L -o file.zip https://example.com/file.zip,curl -L -o file.zip https://example.com/file.zip,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct output filename and URL; fully matches expected."
Extract the contents of archive.tar.bz2 into the current directory.,tar -xjvf archive.tar.bz2,tar -xjvf archive.tar.bz2,True,True,True,True,2,2,2,True,5,Correct tool and flags used for extracting a .tar.bz2 file.
"Show the differences between two configuration files, config1.cfg and config2.cfg, ignoring whitespace changes.",diff -w config1.cfg config2.cfg,diff -w config1.cfg config2.cfg,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag for ignoring whitespace, and correct file arguments."
Print the current date and time in ISO 8601 format.,date --iso-8601=seconds,date --iso-8601=seconds,True,True,True,True,2,2,2,True,5,Correct tool and flag used to output ISO 8601 format with seconds.
Create a new user named devuser with a home directory and default shell /bin/bash.,sudo useradd -m -s /bin/bash devuser,sudo useradd -m -s /bin/bash devuser,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments, and all constraints are honored."
