prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
"List all files in the current directory, including hidden ones, in long format.",ls -la,ls -la,True,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool, correct flags, and correct arguments; matches expected exactly."
"Show the first 10 lines of a file named ""report.txt"".",head -n 10 report.txt,head -n 10 report.txt,True,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool, correct flag, correct argument; matches expected exactly."
"Count how many times the word ""error"" appears in the syslog.",grep -o 'error' /var/log/syslog | wc -l,"grep -o ""error"" /var/log/syslog | wc -l",False,True,True,True,2.0,2.0,2.0,True,5.0,Correct tool and flags; uses proper quoting and correct args to count 'error' occurrences in syslog.
Create a compressed tar archive named backup.tar.gz of the folder /home/user/data.,tar -czvf backup.tar.gz /home/user/data,tar -czvf backup.tar.gz /home/user/data,True,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Find all .log files larger than 5 MB in /var/log and delete them.,"find /var/log -type f -name ""*.log"" -size +5M -exec rm {} \;","find /var/log -type f -name ""*.log"" -size +5M -exec rm -f {} \;",False,True,True,True,1.0,2.0,1.0,True,4.0,Correct tool and flags; missing -f flag for force deletion but otherwise meets constraints.
Display the current disk usage of each mounted filesystem in human‑readable form.,df -h,df -h,True,True,True,True,2.0,2.0,2.0,True,5.0,Correct tool and flag used to display disk usage in human-readable form.
"Show a tree view of the directory structure under /etc, limited to depth 2.",tree -L 2 /etc,tree -L 2 /etc,True,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool, correct flag for depth, and correct argument; fully matches expected."
"Replace all occurrences of ""localhost"" with ""127.0.0.1"" in the file hosts.conf, editing the file in place.",sed -i 's/localhost/127.0.0.1/g' hosts.conf,sed -i 's/localhost/127.0.0.1/g' hosts.conf,True,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool, correct flags, correct arguments, and all constraints are honored."
Show the last 20 lines of the system journal for the ssh service.,journalctl -u sshd -n 20,journalctl -u ssh -n 20,False,True,True,True,1.0,1.0,0.0,True,2.0,Incorrect service name (sshd instead of ssh); violates the constraint of showing the ssh service journal.
"List all currently running processes owned by the user alice, showing PID and command.","ps aux | grep alice | awk '{print $2, $10}'","ps -u alice -o pid,cmd",False,True,True,True,1.0,1.0,2.0,True,3.0,Uses grep and awk which is less direct than the expected ps command; correct but not optimal tool usage.
Monitor real‑time network bandwidth usage on interface eth0.,"watch -n 1 ""ifconfig eth0 | grep 'RX bytes' | awk '{print $2}'""",ifstat -i eth0 1,False,True,True,False,2.0,2.0,2.0,True,3.0,Uses ifconfig and awk which is less direct than expected's ifstat tool for monitoring network bandwidth.
Download a file from https://example.com/file.zip and save it as file.zip.,wget -O file.zip https://example.com/file.zip,curl -L -o file.zip https://example.com/file.zip,False,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool (wget) and correct output file name, but expected used curl instead. Both are valid tools, but the command is correct as per input_text."
Extract the contents of archive.tar.bz2 into the current directory.,tar -xvf archive.tar.bz2,tar -xjvf archive.tar.bz2,False,True,True,True,1.0,2.0,1.0,True,3.0,"Missing the 'j' flag for bzip2 compression, which is required to extract .tar.bz2 files correctly."
"Show the differences between two configuration files, config1.cfg and config2.cfg, ignoring whitespace changes.",diff -w config1.cfg config2.cfg,diff -w config1.cfg config2.cfg,True,True,True,True,2.0,2.0,2.0,True,5.0,"Correct tool, correct flag for ignoring whitespace, and correct file arguments."
